judul,kategori,tanggal_upload,waktu_upload,link_berita
"waduk peninggalan belanda di boyolali direnovasi, dilengkapi jogging track dan plaza ukm",regional,29/01/2022, 14:06 WIB,https://regional.kompas.com/read/2022/01/29/140644278/waduk-peninggalan-belanda-di-boyolali-direnovasi-dilengkapi-jogging-track
"indonesia masuk daftar negara hijau qatar, bisa bebas karantina ",travel,29/01/2022, 14:05 WIB,https://travel.kompas.com/read/2022/01/29/140531527/indonesia-masuk-daftar-negara-hijau-qatar-bisa-bebas-karantina
wakil wali kota sebut kasus covid-19 di bogor melonjak 1.000 persen dalam sepekan,news,29/01/2022, 14:04 WIB,https://nasional.kompas.com/read/2022/01/29/14045251/wakil-wali-kota-sebut-kasus-covid-19-di-bogor-melonjak-1000-persen-dalam
"kebakaran di pelabuhan tegal kembali terjadi, 13 kapal hangus",regional,29/01/2022, 14:03 WIB,https://regional.kompas.com/read/2022/01/29/140305378/kebakaran-di-pelabuhan-tegal-kembali-terjadi-13-kapal-hangus
imf desak el salvador setop gunakan bitcoin sebagai alat pembayaran,tekno,29/01/2022, 14:02 WIB,https://tekno.kompas.com/read/2022/01/29/14020007/imf-desak-el-salvador-setop-gunakan-bitcoin-sebagai-alat-pembayaran
"catat, tips hadapi modus penipuan berkedok tabrak lari",otomotif,29/01/2022, 14:02 WIB,https://otomotif.kompas.com/read/2022/01/29/140200015/catat-tips-hadapi-modus-penipuan-berkedok-tabrak-lari
"kronologi tewasnya 18 orang di double o sorong, selamatkan diri ke lantai 2 hingga terjebak kobaran api",regional,29/01/2022, 14:02 WIB,https://regional.kompas.com/read/2022/01/29/140200778/kronologi-tewasnya-18-orang-di-double-o-sorong-selamatkan-diri-ke-lantai-2
daftar lengkap nominasi bandlab nme awards 2022,hype,29/01/2022, 14:00 WIB,https://www.kompas.com/hype/read/2022/01/29/140007966/daftar-lengkap-nominasi-bandlab-nme-awards-2022
5 partai dalam bulu tangkis,bola,29/01/2022, 14:00 WIB,https://www.kompas.com/sports/read/2022/01/29/14000028/5-partai-dalam-bulu-tangkis
"babi tertua di dunia berumur 24 tahun, dipelihara bak anjing",global,29/01/2022, 14:00 WIB,https://www.kompas.com/global/read/2022/01/29/140000870/babi-tertua-di-dunia-berumur-24-tahun-dipelihara-bak-anjing
4 macam minyak goreng paling sehat,health,29/01/2022, 14:00 WIB,https://health.kompas.com/read/2022/01/29/140000868/4-macam-minyak-goreng-paling-sehat
"viral, video tempat pengisian baterai motor listrik, ini kata gojek",tren,29/01/2022, 14:00 WIB,https://www.kompas.com/tren/read/2022/01/29/140000465/viral-video-tempat-pengisian-baterai-motor-listrik-ini-kata-gojek
"pulau manimbora, tempat wisata eksotis di kalimantan timur dengan misteri tumpukan tulang manusia",regional,29/01/2022, 14:00 WIB,https://regional.kompas.com/read/2022/01/29/140000778/pulau-manimbora-tempat-wisata-eksotis-di-kalimantan-timur-dengan-misteri
"sempat bebas, 2 pemerkosa gadis keterbelakangan mental kembali ditangkap",regional,29/01/2022, 13:52 WIB,https://regional.kompas.com/read/2022/01/29/135254878/sempat-bebas-2-pemerkosa-gadis-keterbelakangan-mental-kembali-ditangkap
"fenomena bulan hitam terjadi di as akhir januari 2022, indonesia kapan?",wiken,29/01/2022, 13:50 WIB,https://www.kompas.com/wiken/read/2022/01/29/135000181/fenomena-bulan-hitam-terjadi-di-as-akhir-januari-2022-indonesia-kapan-
"masyarakat diminta tidak anggap enteng flu, bisa jadi itu gejala omicron",news,29/01/2022, 13:48 WIB,https://megapolitan.kompas.com/read/2022/01/29/13484621/masyarakat-diminta-tidak-anggap-enteng-flu-bisa-jadi-itu-gejala-omicron
"anggarkan rp 2,15 triliun, kemendikbud buka pendanaan penelitian 2022",edukasi,29/01/2022, 13:47 WIB,https://www.kompas.com/edu/read/2022/01/29/134712771/anggarkan-rp-215-triliun-kemendikbud-buka-pendanaan-penelitian-2022
berapa gaji dan tunjangan pejabat dinas pendidikan dki jakarta?,money,29/01/2022, 13:46 WIB,https://money.kompas.com/read/2022/01/29/134609426/berapa-gaji-dan-tunjangan-pejabat-dinas-pendidikan-dki-jakarta
hindari menyatukan jenis pakaian ini saat mencuci,homey,29/01/2022, 13:45 WIB,https://www.kompas.com/homey/read/2022/01/29/134500876/hindari-menyatukan-jenis-pakaian-ini-saat-mencuci
"bus baru po trans agung mulia, sasis hino dan bodi rakitan laksana",otomotif,29/01/2022, 13:42 WIB,https://otomotif.kompas.com/read/2022/01/29/134200615/bus-baru-po-trans-agung-mulia-sasis-hino-dan-bodi-rakitan-laksana
beredar video siswa smp tawuran di dalam hutan ,regional,29/01/2022, 13:41 WIB,https://regional.kompas.com/read/2022/01/29/134150178/beredar-video-siswa-smp-tawuran-di-dalam-hutan
mengapa tki disebut sebagai pahlawan devisa?,money,29/01/2022, 13:40 WIB,https://money.kompas.com/read/2022/01/29/134000926/mengapa-tki-disebut-sebagai-pahlawan-devisa-
"luhut: saya baru sadar ahli kita hebat-hebat, selama ini kurang diberdayakan",news,29/01/2022, 13:39 WIB,https://nasional.kompas.com/read/2022/01/29/13392531/luhut-saya-baru-sadar-ahli-kita-hebat-hebat-selama-ini-kurang-diberdayakan
"makan bareng zombie dan vampir di arab saudi, bagaimana rasanya?",global,29/01/2022, 13:39 WIB,https://www.kompas.com/global/read/2022/01/29/133900470/makan-bareng-zombie-dan-vampir-di-arab-saudi-bagaimana-rasanya-
kelirumologi albert einstein,tren,29/01/2022, 13:37 WIB,https://www.kompas.com/tren/read/2022/01/29/133735665/kelirumologi-albert-einstein
3 orang jadi tersangka perusakan mercy di bantul,regional,29/01/2022, 13:34 WIB,https://yogyakarta.kompas.com/read/2022/01/29/133456678/3-orang-jadi-tersangka-perusakan-mercy-di-bantul
legalisasi aset cegah pulau-pulau kecil terluar dicaplok negara lain,properti,29/01/2022, 13:33 WIB,https://www.kompas.com/properti/read/2022/01/29/133347821/legalisasi-aset-cegah-pulau-pulau-kecil-terluar-dicaplok-negara-lain
panduan dari bpom tentang pembelian obat secara online,tren,29/01/2022, 13:30 WIB,https://www.kompas.com/tren/read/2022/01/29/133000865/panduan-dari-bpom-tentang-pembelian-obat-secara-online
kim da mi akui nyaman main drama bareng choi woo shik di our beloved summer,hype,29/01/2022, 13:27 WIB,https://www.kompas.com/hype/read/2022/01/29/132710566/kim-da-mi-akui-nyaman-main-drama-bareng-choi-woo-shik-di-our-beloved-summer
teori awan debu,skola,29/01/2022, 13:23 WIB,https://www.kompas.com/skola/read/2022/01/29/132344669/teori-awan-debu
"setelah persib, psm makassar umumkan kasus positif covid-19",bola,29/01/2022, 13:23 WIB,https://bola.kompas.com/read/2022/01/29/13232308/setelah-persib-psm-makassar-umumkan-kasus-positif-covid-19
undang-undang lalu lintas perlu direvisi untuk berantas truk odol,otomotif,29/01/2022, 13:22 WIB,https://otomotif.kompas.com/read/2022/01/29/132200715/undang-undang-lalu-lintas-perlu-direvisi-untuk-berantas-truk-odol
"lowongan kerja mitsubishi motors untuk lulusan s1, cek syaratnya",wiken,29/01/2022, 13:21 WIB,https://www.kompas.com/wiken/read/2022/01/29/132132681/lowongan-kerja-mitsubishi-motors-untuk-lulusan-s1-cek-syaratnya
one piece tampilkan patung yamato,hype,29/01/2022, 13:17 WIB,https://www.kompas.com/hype/read/2022/01/29/131737666/one-piece-tampilkan-patung-yamato
514.910 orang di dki jakarta sudah dapat vaksin booster covid-19,news,29/01/2022, 13:16 WIB,https://megapolitan.kompas.com/read/2022/01/29/13161951/514910-orang-di-dki-jakarta-sudah-dapat-vaksin-booster-covid-19
lowongan bumn bio farma bagi lulusan d3 dan s1,edukasi,29/01/2022, 13:13 WIB,https://www.kompas.com/edu/read/2022/01/29/131350771/lowongan-bumn-bio-farma-bagi-lulusan-d3-dan-s1
5 cara bikin bolu kukus mekar dan tidak bau amis,food,29/01/2022, 13:13 WIB,https://www.kompas.com/food/read/2022/01/29/131300375/5-cara-bikin-bolu-kukus-mekar-dan-tidak-bau-amis
"tanpa atraksi barongsai, kelenteng di pangkalpinang sediakan sembako bagi warga lintas agama",regional,29/01/2022, 13:12 WIB,https://regional.kompas.com/read/2022/01/29/131212878/tanpa-atraksi-barongsai-kelenteng-di-pangkalpinang-sediakan-sembako-bagi
"4 rumah hangus terbakar di tebet, 25 orang diungsikan ",news,29/01/2022, 13:10 WIB,https://megapolitan.kompas.com/read/2022/01/29/13104901/4-rumah-hangus-terbakar-di-tebet-25-orang-diungsikan
tips membawa kucing bepergian agar merasa nyaman,homey,29/01/2022, 13:09 WIB,https://www.kompas.com/homey/read/2022/01/29/130900676/tips-membawa-kucing-bepergian-agar-merasa-nyaman
g20 bakal turun tangan urusi utang negara miskin,money,29/01/2022, 13:07 WIB,https://money.kompas.com/read/2022/01/29/130700726/g20-bakal-turun-tangan-urusi-utang-negara-miskin
7 tempat wisata sekitar puncak argapura ketep pass magelang,travel,29/01/2022, 13:06 WIB,https://travel.kompas.com/read/2022/01/29/130600727/7-tempat-wisata-sekitar-puncak-argapura-ketep-pass-magelang
"jaga-jaga perang rusia-ukraina, as segera kirim pasukan ke eropa timur",global,29/01/2022, 13:06 WIB,https://www.kompas.com/global/read/2022/01/29/130600170/jaga-jaga-perang-rusia-ukraina-as-segera-kirim-pasukan-ke-eropa-timur
disleksia,health,29/01/2022, 13:05 WIB,https://health.kompas.com/penyakit/read/2022/01/29/130500268/disleksia
jangan pernah meninggalkan anak sendirian di mobil,otomotif,29/01/2022, 13:02 WIB,https://otomotif.kompas.com/read/2022/01/29/130200215/jangan-pernah-meninggalkan-anak-sendirian-di-mobil
